year,sector,class,cfn_tle1,cfn_tle2,units,magnitude,source,data_value,flag
2023,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,1,P
2009,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,13,F
2010,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,102,F
2011,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,90,F
2012,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,74,F
2013,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,79,F
2014,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,57,F
2015,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,50,F
2016,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,44,F
2017,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,44,F
2018,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,54,F
2019,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,79,F
2020,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,78,F
2021,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,84,F
2022,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,109,P
2023,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,111,P
2009,Central government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,33202,F
2010,Central government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,34079,F
2011,Central government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,35360,F
2012,Central government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,36677,F
2013,Central government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,37289,F
2014,Central government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,38671,F
2015,Central government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,40387,F
2016,Central government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,41751,F
2017,Central government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,43524,F
2018,Central government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,46026,F
2019,Central government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,49360,F
2020,Central government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,53930,F
2021,Central government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,59890,F
2022,Central government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,67838,P
2023,Central government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,73480,P
2009,Central government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,5243,F
2010,Central government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,5486,F
2011,Central government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,5941,F
2012,Central government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,5155,F
2013,Central government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,4864,F
2014,Central government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,5898,F
2015,Central government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,6437,F
2016,Central government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,6743,F
2017,Central government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,6518,F
2018,Central government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,8295,F
2019,Central government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,8308,F
2020,Central government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,8835,F
2021,Central government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,9060,F
2022,Central government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,10436,P
2023,Central government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,11197,P
2009,General government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.5,F
2010,General government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.2,F
2011,General government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.3,F
2012,General government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.2,F
2013,General government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.4,F
2014,General government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.3,F
2015,General government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.2,F
2016,General government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.2,F
2017,General government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.3,F
2018,General government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.2,F
2019,General government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.2,F
2020,General government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.3,F
2021,General government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.3,F
2022,General government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.3,P
2023,General government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.4,P
2009,General government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,1309,F
2010,General government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,1233,F
2011,General government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,1327,F
2012,General government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,1337,F
2013,General government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,1422,F
2014,General government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,1438,F
2015,General government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,1468,F
2016,General government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,1515,F
2017,General government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,1646,F
2018,General government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,1684,F
2019,General government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,1804,F
2020,General government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,1992,F
2021,General government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,2229,F
2022,General government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,2470,P
2023,General government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,2851,P
2009,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,9.3,F
2010,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,9,F
2011,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,5.9,F
2012,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,8.6,F
2013,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,11.7,F
2014,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,8.7,F
2015,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,9.7,F
2016,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,9.1,F
2017,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,8.1,F
2018,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,7.3,F
2019,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,7.4,F
2020,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,7.7,F
2021,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,8.1,F
2022,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,8.7,P
2023,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,8.4,P
2009,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,763,F
2010,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,777,F
2011,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,504,F
2012,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,660,F
2013,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,958,F
2014,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,792,F
2015,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,950,F
2016,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,924,F
2017,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,815,F
2018,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,867,F
2019,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,923,F
2020,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,1041,F
2021,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,1153,F
2022,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,1394,P
2023,General government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,1504,P
2009,General government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,37478,F
2010,General government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,38433,F
2011,General government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,40061,F
2012,General government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,41719,F
2013,General government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,42158,F
2014,General government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,43635,F
2015,General government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,45562,F
2016,General government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,47234,F
2017,General government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,49231,F
2018,General government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,52097,F
2019,General government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,55826,F
2020,General government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,60952,F
2021,General government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,67138,R
2022,General government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,75687,P
2023,General government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,82867,P
2009,General government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,8165,F
2010,General government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,8668,F
2011,General government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,8531,F
2012,General government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,7669,F
2013,General government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,8201,F
2014,General government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,9087,F
2015,General government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,9820,F
2016,General government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,10175,F
2017,General government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,10052,F
2018,General government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,11887,F
2019,General government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,12545,F
2020,General government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,13527,F
2021,General government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,14166,F
2022,General government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,15958,P
2023,General government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,17941,P
2009,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.3,F
2010,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.1,F
2011,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.2,F
2012,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.2,F
2013,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.4,F
2014,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.6,F
2015,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.7,F
2016,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,2.2,F
2017,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.8,F
2018,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.8,F
2019,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.8,F
2020,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.4,F
2021,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1,F
2022,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.1,P
2023,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,0.9,P
2009,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,57,F
2010,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,48,F
2011,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,56,F
2012,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,61,F
2013,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,69,F
2014,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,81,F
2015,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,87,F
2016,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,121,F
2017,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,101,F
2018,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,112,F
2019,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,115,F
2020,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,99,F
2021,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,74,F
2022,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,89,P
2023,Local government,Air and water quality,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,82,P
2009,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.1,F
2010,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.1,F
2011,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.2,F
2012,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.2,F
2013,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.1,F
2014,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.1,F
2015,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.1,F
2016,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.1,F
2017,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.2,F
2018,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.1,F
2019,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.1,F
2020,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.1,F
2021,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.2,F
2022,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.1,P
2023,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.1,P
2009,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,3,F
2010,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,4,F
2011,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,4,F
2012,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,4,F
2013,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,2,F
2014,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,3,F
2015,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,3,F
2016,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,3,F
2017,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,5,F
2018,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,5,F
2019,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,5,F
2020,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,5,F
2021,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,11,F
2022,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,3,P
2023,Local government,Air and water quality,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,4,P
2009,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.6,F
2010,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,2.2,F
2011,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,2.4,F
2012,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,2.9,F
2013,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,2.8,F
2014,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,2.4,F
2015,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,2.7,F
2016,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,2.2,F
2017,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,2.3,F
2018,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,2.2,F
2019,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,2,F
2020,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.8,F
2021,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,2.1,F
2022,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,2.3,P
2023,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,2.9,P
2009,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,153,F
2010,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,97,F
2011,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,112,F
2012,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,148,F
2013,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,134,F
